"Data","Sex","method","cod","result"
"BR1","f","BH1","1101",1.04603212961227
"BR1","f","BH1","1102",2.30621443856869
"BR1","f","BH1","1201",0.373384000679437
"BR1","f","BH1","1202",0.953934867995444
"BR1","f","BH1","1301",0.204185259631759
"BR1","f","BH1","1302",0.0560253928139899
"BR1","f","BH1","1303",0.687623601509107
"BR1","f","BH1","1304",0.13029143401988
"BR1","f","BH1","1401",1.0173026278863
"BR1","f","BH1","1402",1.02009871451406
"BR1","f","BH1","1501",0.423411294582438
"BR1","f","BH1","1502",0.268434654418385
"BR1","f","BH1","1503",0.811863421225548
"BR1","f","BH1","1504",0.322837553294229
"BR1","f","BH1","1505",1.93528547236484
"BR1","f","BH1","1506",1.10787362752327
"BR1","f","BH1","1601",0.114983022221063
"BR1","f","BH1","1602",0.916036968766396
"BR1","f","BH1","1701",0.281367721005568
"BR1","f","BH1","1702",0.267565262965186
"BR1","f","BH1","2101",0.338555495826575
"BR1","f","BH1","2102",0.288262320540754
"BR1","f","BH1","2103",0.128486064964921
"BR1","f","BH1","2104",0.167718243510567
"BR1","f","BH1","2105",0.168482250098793
"BR1","f","BH1","2201",0.337914826929536
"BR1","f","BH1","2202",0.409676387133444
"BR1","f","BH1","2203",0.137848146860673
"BR1","f","BH1","2204",0.18691897241028
"BR1","f","BH1","2301",0.217850623931992
"BR1","f","BH1","2302",0.275400995452599
"BR1","f","BH1","2303",0.766334179151267
"BR1","f","BH1","2304",0.167233238416115
"BR1","f","BH1","2305",0.500804006470132
"BR1","f","BH1","2306",0.323596683907842
"BR1","f","BH1","2307",0.226098130319312
"BR1","f","BH1","2401",0.464610830209629
"BR1","f","BH1","2402",0.67407951405478
"BR1","f","BH1","2403",0.385649186474463
"BR1","f","BH1","2404",0.756184441041799
"BR1","f","BH1","2501",0.433746533414863
"BR1","f","BH1","2502",0.539901593077543
"BR1","f","BH1","2503",0.670125105322982
"BR1","f","BH1","2504",0.834828759296511
"BR1","f","BH1","2601",0.424676275157229
"BR1","f","BH1","2602",0.570231754791044
"BR1","f","BH1","2603",0.695750130985871
"BR1","f","BH1","2604",0.759172115679728
"BR1","f","BH1","2605",0.692538409029664
"BR1","f","BH1","2701",0.378178989030097
"BR1","f","BH1","2702",0.518568063779836
"BR1","f","BH1","2703",0.770810902330376
"BR1","f","BH1","2801",0.493135159573209
"BR1","f","BH1","2802",0.564945316390806
"BR1","f","BH1","2803",0.84067274395645
"BR1","f","BH1","2901",0.30192416688915
"BR1","f","BH1","2902",0.367336540689384
"BR1","f","BH1","2903",0.410693489762893
"BR1","f","BH1","2904",0.403770605256741
"BR1","f","BH1","2905",0.731459102043305
"BR1","f","BH1","2906",0.386586763858933
"BR1","f","BH1","2907",0.569122714537888
"BR1","f","BH1","3101",0.51020216441932
"BR1","f","BH1","3102",0.520434736345361
"BR1","f","BH1","3103",0.488244936665877
"BR1","f","BH1","3104",0.572982085230514
"BR1","f","BH1","3105",0.732383858679748
"BR1","f","BH1","3106",0.705692604807433
"BR1","f","BH1","3107",0.9039895546355
"BR1","f","BH1","3108",0.614623982406192
"BR1","f","BH1","3109",0.748182231766117
"BR1","f","BH1","3110",0.786836062987737
"BR1","f","BH1","3111",0.765611802717352
"BR1","f","BH1","3112",0.696502592709557
"BR1","f","BH1","3201",0.559360417248177
"BR1","f","BH1","3202",0.709487601779355
"BR1","f","BH1","3203",0.965919421562624
"BR1","f","BH1","3204",0.767758477564087
"BR1","f","BH1","3301",1.01842886456322
"BR1","f","BH1","3302",0.870486752969497
"BR1","f","BH1","3303",0.860142325544133
"BR1","f","BH1","3304",0.977692064091921
"BR1","f","BH1","3305",0.834260559272633
"BR1","f","BH1","3306",0.721871716174012
"BR1","f","BH1","3501",0.769274326913629
"BR1","f","BH1","3502",0.905910188040824
"BR1","f","BH1","3503",0.698696247278188
"BR1","f","BH1","3504",0.898476820488486
"BR1","f","BH1","3505",0.957936183756047
"BR1","f","BH1","3506",0.981659456460975
"BR1","f","BH1","3507",0.961701849335472
"BR1","f","BH1","3508",0.643700177460041
"BR1","f","BH1","3509",0.766805600063233
"BR1","f","BH1","3510",0.84459943379711
"BR1","f","BH1","3511",0.921648120372068
"BR1","f","BH1","3512",1.00413299441122
"BR1","f","BH1","3513",0.993884395805482
"BR1","f","BH1","3514",1.0766652841411
"BR1","f","BH1","3515",0.674786686182661
"BR1","f","BH1","4101",0.529568353173253
"BR1","f","BH1","4102",0.635746228518587
"BR1","f","BH1","4103",0.670509339996536
"BR1","f","BH1","4104",0.68310897051609
"BR1","f","BH1","4105",0.797053920341557
"BR1","f","BH1","4106",0.580955678493366
"BR1","f","BH1","4107",0.488379687681543
"BR1","f","BH1","4108",0.615651159116749
"BR1","f","BH1","4109",0.699222203267664
"BR1","f","BH1","4110",0.976548066812529
"BR1","f","BH1","4201",0.605690973660266
"BR1","f","BH1","4202",0.949950612856237
"BR1","f","BH1","4203",0.740775712103692
"BR1","f","BH1","4204",0.832553478946958
"BR1","f","BH1","4205",0.972652848216891
"BR1","f","BH1","4206",0.757799372257501
"BR1","f","BH1","4301",0.616369866141431
"BR1","f","BH1","4302",0.694772533697045
"BR1","f","BH1","4303",0.753068367952272
"BR1","f","BH1","4304",0.734691074467779
"BR1","f","BH1","4305",0.886607506075205
"BR1","f","BH1","4306",0.808826700022849
"BR1","f","BH1","4307",0.799456163415218
"BR1","f","BH1","5001",0.502216076771415
"BR1","f","BH1","5002",0.994310040372552
"BR1","f","BH1","5003",0.685232200062337
"BR1","f","BH1","5004",0.553356890970126
"BR1","f","BH1","5101",2.45965949131095
"BR1","f","BH1","5102",0.808097072676107
"BR1","f","BH1","5103",0.380048503284929
"BR1","f","BH1","5104",1.00454602677907
"BR1","f","BH1","5105",0.608207212956128
"BR1","f","BH1","5201",0.408967204587567
"BR1","f","BH1","5202",0.382654838743294
"BR1","f","BH1","5203",0.815493228914471
"BR1","f","BH1","5204",0.994417218148183
"BR1","f","BH1","5205",0.606391671995985
"BR1","f","BH1","5301",0.704246217017784
"BR1","f","BH2","1101",0.63408848224298
"BR1","f","BH2","1102",0.601476979505506
"BR1","f","BH2","1201",0.618672487969685
"BR1","f","BH2","1202",0.743814307820606
"BR1","f","BH2","1301",1.07977154878968
"BR1","f","BH2","1302",5027.58252196908
"BR1","f","BH2","1303",0.675538256354801
"BR1","f","BH2","1304",37.8604477106374
"BR1","f","BH2","1401",0.542288645841892
"BR1","f","BH2","1402",0.157022822978285
"BR1","f","BH2","1501",0.63647764378743
"BR1","f","BH2","1502",0.531243269113744
"BR1","f","BH2","1503",0.725847596587913
"BR1","f","BH2","1504",0.551067889977648
"BR1","f","BH2","1505",0.33084108128576
"BR1","f","BH2","1506",0.357216232555928
"BR1","f","BH2","1601",532.945849467678
"BR1","f","BH2","1602",0.630379753673563
"BR1","f","BH2","1701",1.25324935895305
"BR1","f","BH2","1702",0.546257828095603
"BR1","f","BH2","2101",0.615725028137409
"BR1","f","BH2","2102",0.476333166110044
"BR1","f","BH2","2103",0.346512084903756
"BR1","f","BH2","2104",0.639138632579534
"BR1","f","BH2","2105",1.47135062486337
"BR1","f","BH2","2201",0.602799738606208
"BR1","f","BH2","2202",0.563088174865908
"BR1","f","BH2","2203",3.44577108358994
"BR1","f","BH2","2204",1.01113506791493
"BR1","f","BH2","2301",0.824417269063974
"BR1","f","BH2","2302",0.748296806644973
"BR1","f","BH2","2303",0.630614686458298
"BR1","f","BH2","2304",0.911973844476893
"BR1","f","BH2","2305",0.690144665052542
"BR1","f","BH2","2306",0.600173841409645
"BR1","f","BH2","2307",0.623216567788672
"BR1","f","BH2","2401",0.591848610170267
"BR1","f","BH2","2402",0.685305700185384
"BR1","f","BH2","2403",0.582903101880132
"BR1","f","BH2","2404",0.634299864662948
"BR1","f","BH2","2501",0.629789061089414
"BR1","f","BH2","2502",0.707564794976445
"BR1","f","BH2","2503",0.718803452061938
"BR1","f","BH2","2504",0.708643317349079
"BR1","f","BH2","2601",0.631220118992927
"BR1","f","BH2","2602",0.673298495382104
"BR1","f","BH2","2603",0.751195924406715
"BR1","f","BH2","2604",0.630612264936017
"BR1","f","BH2","2605",0.749945356711233
"BR1","f","BH2","2701",0.614939545686723
"BR1","f","BH2","2702",0.715513965843179
"BR1","f","BH2","2703",0.747704195435125
"BR1","f","BH2","2801",0.69081044012383
"BR1","f","BH2","2802",0.692636095827984
"BR1","f","BH2","2803",0.697967183178737
"BR1","f","BH2","2901",0.775927247419182
"BR1","f","BH2","2902",0.570512713711477
"BR1","f","BH2","2903",0.571174492062495
"BR1","f","BH2","2904",0.61274164983607
"BR1","f","BH2","2905",0.737924753056143
"BR1","f","BH2","2906",0.548026300910812
"BR1","f","BH2","2907",0.610685445090972
"BR1","f","BH2","3101",0.734345591769114
"BR1","f","BH2","3102",0.638158155320034
"BR1","f","BH2","3103",0.668950103041597
"BR1","f","BH2","3104",0.645057389510552
"BR1","f","BH2","3105",0.715550126507775
"BR1","f","BH2","3106",0.728495057221208
"BR1","f","BH2","3107",0.721724695213795
"BR1","f","BH2","3108",0.688491350939489
"BR1","f","BH2","3109",0.761931326475579
"BR1","f","BH2","3110",0.750303434173613
"BR1","f","BH2","3111",0.763637647764882
"BR1","f","BH2","3112",0.729483923301222
"BR1","f","BH2","3201",0.707304970343137
"BR1","f","BH2","3202",0.708483422487175
"BR1","f","BH2","3203",0.694727244681275
"BR1","f","BH2","3204",0.734123048806404
"BR1","f","BH2","3301",0.674746642774487
"BR1","f","BH2","3302",0.727432361697568
"BR1","f","BH2","3303",0.755667053908251
"BR1","f","BH2","3304",0.732176495151626
"BR1","f","BH2","3305",0.752215960362062
"BR1","f","BH2","3306",0.810226252622187
"BR1","f","BH2","3501",0.692989009734074
"BR1","f","BH2","3502",0.674026020414462
"BR1","f","BH2","3503",0.700327496579616
"BR1","f","BH2","3504",0.732524050210241
"BR1","f","BH2","3505",0.653529038495651
"BR1","f","BH2","3506",0.742659309862239
"BR1","f","BH2","3507",0.666717888362945
"BR1","f","BH2","3508",0.703294417187154
"BR1","f","BH2","3509",0.691791186733677
"BR1","f","BH2","3510",0.74866321425414
"BR1","f","BH2","3511",0.740842682267388
"BR1","f","BH2","3512",0.726284162511529
"BR1","f","BH2","3513",0.756755605979043
"BR1","f","BH2","3514",0.691131321129581
"BR1","f","BH2","3515",0.758691712399707
"BR1","f","BH2","4101",0.644577188492003
"BR1","f","BH2","4102",0.634751068757524
"BR1","f","BH2","4103",0.654717913314504
"BR1","f","BH2","4104",0.619793191941009
"BR1","f","BH2","4105",0.699762583889954
"BR1","f","BH2","4106",0.621207930005304
"BR1","f","BH2","4107",0.686639945307792
