"Data","Sex","method","cod","result"
"BR1","f","BH1","1101",1.83690168104941
"BR1","f","BH1","1102",15.1068977274882
"BR1","f","BH1","1201",0.527467516074226
"BR1","f","BH1","1202",1.53510602429743
"BR1","f","BH1","1301",0.263584184100257
"BR1","f","BH1","1302",0.078328170655851
"BR1","f","BH1","1303",0.979533782320898
"BR1","f","BH1","1304",0.165130003022825
"BR1","f","BH1","1401",2.14589994270822
"BR1","f","BH1","1402",3.48074155178753
"BR1","f","BH1","1501",0.520059374777821
"BR1","f","BH1","1502",0.321021956428641
"BR1","f","BH1","1503",1.12603616566324
"BR1","f","BH1","1504",0.418089318145064
"BR1","f","BH1","1505",5.74844049124113
"BR1","f","BH1","1506",2.62070427169326
"BR1","f","BH1","1601",0.139341757281219
"BR1","f","BH1","1602",1.53475186500823
"BR1","f","BH1","1701",0.373684089464717
"BR1","f","BH1","1702",0.34845748573948
"BR1","f","BH1","2101",0.412414498613302
"BR1","f","BH1","2102",0.44703591372107
"BR1","f","BH1","2103",0.154273174126448
"BR1","f","BH1","2104",0.180418958802287
"BR1","f","BH1","2105",0.221148341865855
"BR1","f","BH1","2201",0.399154633054394
"BR1","f","BH1","2202",0.566656255092378
"BR1","f","BH1","2203",0.178126550022155
"BR1","f","BH1","2204",0.232655099324584
"BR1","f","BH1","2301",0.275332148653798
"BR1","f","BH1","2302",0.318509217478718
"BR1","f","BH1","2303",1.04756198971945
"BR1","f","BH1","2304",0.198202807944522
"BR1","f","BH1","2305",0.601460210990396
"BR1","f","BH1","2306",0.397572217624736
"BR1","f","BH1","2307",0.257808450623368
"BR1","f","BH1","2401",0.628463372036312
"BR1","f","BH1","2402",0.920853251952574
"BR1","f","BH1","2403",0.505472005387257
"BR1","f","BH1","2404",1.12148401117078
"BR1","f","BH1","2501",0.527209540691101
"BR1","f","BH1","2502",0.684021196066376
"BR1","f","BH1","2503",0.894534059782599
"BR1","f","BH1","2504",1.16223841504597
"BR1","f","BH1","2601",0.519521804847687
"BR1","f","BH1","2602",0.78802096022384
"BR1","f","BH1","2603",0.903215162090017
"BR1","f","BH1","2604",0.97407161925853
"BR1","f","BH1","2605",0.894833943461617
"BR1","f","BH1","2701",0.440255475427645
"BR1","f","BH1","2702",0.657197679183999
"BR1","f","BH1","2703",1.000565285444
"BR1","f","BH1","2801",0.632084570768174
"BR1","f","BH1","2802",0.787150791614189
"BR1","f","BH1","2803",1.11691835217603
"BR1","f","BH1","2901",0.403288116107049
"BR1","f","BH1","2902",0.479271626226926
"BR1","f","BH1","2903",0.565239584586064
"BR1","f","BH1","2904",0.537097561330002
"BR1","f","BH1","2905",0.960577001519565
"BR1","f","BH1","2906",0.527129677238186
"BR1","f","BH1","2907",0.826243880589832
"BR1","f","BH1","3101",0.605424069539013
