UF	AGE	POP_80	DEATH_80	POP_91	DEATH_91	POP_00	DEATH_00	POP_10	DEATH_10	
1	11	0	9429	496	15254	417	14798	294	12305	213
28	11	1	32539	191	60667	112	60561	46	50769	38
55	11	5	35991	58	75921	40	78616	16	68618	28
82	11	10	31855	29	72908	33	79264	34	76618	15
109	11	15	27318	35	63709	47	77280	47	77199	44
136	11	20	22773	39	54787	54	68128	44	74562	49
163	11	25	18441	41	48988	52	59939	45	72890	53
190	11	30	12983	36	40277	38	53626	70	66583	70
217	11	35	10432	37	31997	59	46522	76	58600	80
244	11	40	8647	37	23091	53	36936	72	51215	83
271	11	45	6630	28	17063	65	28177	100	43422	126
298	11	50	4965	35	13250	75	20112	95	34616	153
325	11	55	3591	41	10200	80	15643	113	26308	154
352	11	60	2423	26	7423	100	11941	138	18542	172
379	11	65	1653	50	4940	109	8589	142	13486	215
406	11	70	788	36	2690	90	5430	159	9541	245
433	11	75	513	23	1719	95	3223	133	6240	253
460	11	80	292	49	1313	141	2862	249	5738	508
2	12	0	5929	175	6186	161	7422	172	7145	125
29	12	1	21165	35	24290	41	30476	41	30745	30
56	12	5	23022	12	31089	11	35442	10	40150	18
83	12	10	20010	8	29548	19	33694	12	43260	13
110	12	15	17149	18	23853	23	33288	19	38543	24
137	12	20	13619	14	19178	11	28386	23	35147	27
164	12	25	10457	11	15858	16	22423	30	34049	34
191	12	30	7902	14	13059	23	18843	32	29977	33
218	12	35	6706	17	10944	17	15581	27	23941	35
245	12	40	5102	23	8355	20	12798	36	19988	39
272	12	45	3904	16	6228	19	10053	44	15716	41
299	12	50	3400	19	4794	22	7594	41	13036	58
326	12	55	2270	18	3633	30	6235	53	10239	81
353	12	60	1818	18	3102	32	4621	50	7507	96
380	12	65	1802	22	2342	31	3396	54	5864	80
407	12	70	921	34	1591	45	2663	61	4000	79
434	12	75	472	28	1152	64	1677	76	2692	90
461	12	80	286	49	942	102	1951	209	3236	264
3	13	0	28974	945	27554	624	37350	790	36156	515
30	13	1	103669	246	121602	140	154129	182	146651	140
57	13	5	108945	41	157334	57	180510	62	188308	59
84	13	10	93367	32	148346	33	168383	53	197225	64
111	13	15	81548	74	122171	53	167713	90	182055	98
138	13	20	65374	65	96779	56	145827	92	169446	99
165	13	25	51931	73	83117	64	117614	91	162153	124
192	13	30	38863	62	70379	54	94710	100	143036	160
219	13	35	31693	70	55303	86	82265	130	116053	145
246	13	40	26983	76	42088	63	64963	148	93807	179
273	13	45	20571	72	30731	99	49929	143	77238	231
300	13	50	16303	79	24275	97	36282	158	62231	272
327	13	55	12188	95	18495	103	28367	182	47873	284
354	13	60	9044	78	15370	135	22989	266	35037	321
381	13	65	7971	104	11814	148	17485	282	26005	349
408	13	70	4888	132	7395	171	12266	311	18906	455
435	13	75	2921	160	5133	179	8255	298	12939	439
462	13	80	1811	183	4692	457	9153	779	15687	1292
4	14	0	1497	59	2849	64	4366	92	4641	61
31	14	1	5475	8	11725	22	17712	29	18643	12
58	14	5	5552	2	14588	6	20499	8	24113	4
85	14	10	4776	4	12695	6	19068	12	25590	7
112	14	15	4440	1	10815	12	18760	15	23250	13
139	14	20	3779	6	9746	9	16294	15	21788	18
166	14	25	3127	4	9104	18	13430	19	21792	29
193	14	30	2314	3	7258	7	11606	19	18669	20
220	14	35	1642	7	5558	9	10175	27	14839	16
247	14	40	1381	2	3822	10	7926	17	12269	22
274	14	45	1013	4	2570	7	5710	26	10379	29
301	14	50	1039	3	1998	4	3985	30	8087	36
328	14	55	653	3	1418	8	2722	24	5928	44
355	14	60	476	3	1170	13	2090	20	4131	43
382	14	65	413	3	922	8	1487	29	2793	46
409	14	70	172	7	503	8	1129	28	1960	38
436	14	75	111	4	323	14	699	32	1241	42
463	14	80	83	8	322	25	702	52	1507	106
5	15	0	63345	2121	69065	1197	74345	1329	69897	1044
32	15	1	228966	628	282367	303	307359	295	291342	269
59	15	5	249504	133	354800	116	374270	111	383727	111
86	15	10	222145	86	333845	99	372500	115	410621	131
113	15	15	191692	154	281994	154	365028	198	390200	222
140	15	20	156766	174	228428	167	306983	203	373463	245
167	15	25	122640	160	189302	144	249916	190	354717	273
194	15	30	93226	176	159626	160	212604	194	307254	308
221	15	35	79264	191	131668	215	180571	222	255011	333
248	15	40	65764	194	101412	224	150125	306	213683	385
275	15	45	51129	170	79640	207	119145	374	174157	484
302	15	50	42502	206	62778	267	90688	359	145503	595
