UF	AGE	POP_80	DEATH_80	POP_91	DEATH_91	POP_00	DEATH_00	POP_10	DEATH_10	
1	11	0	10026	556	15841	521	15326	425	12739	264
28	11	1	33801	203	63170	110	63914	66	52115	37
55	11	5	37658	54	79026	30	81330	38	71216	29
82	11	10	33235	29	75034	55	81948	46	79940	32
109	11	15	28180	56	63671	120	79605	120	78756	132
136	11	20	24429	86	56590	156	69200	204	76790	241
163	11	25	20321	99	52448	193	58361	191	73349	217
190	11	30	16385	87	43665	173	55546	217	66371	236
217	11	35	13072	98	34675	173	50530	173	57891	178
244	11	40	11596	86	27257	118	40261	198	54364	238
271	11	45	8930	74	20584	129	30810	188	47198	282
298	11	50	7746	92	16857	158	23619	234	37245	297
325	11	55	5486	72	12917	160	17673	207	28045	303
352	11	60	3785	88	10169	174	14573	258	20627	327
379	11	65	2540	68	7158	186	10625	273	14731	365
406	11	70	1190	64	4039	161	7344	245	10744	449
433	11	75	538	43	2054	129	4212	248	6775	373
460	11	80	224	47	1340	178	3263	343	6261	650
2	12	0	6208	208	6382	206	7721	301	7457	162
29	12	1	21972	44	24792	39	31468	43	32018	24
56	12	5	23979	28	31932	22	35845	29	42008	8
83	12	10	20551	12	30048	28	34383	12	44447	21
110	12	15	16865	29	23295	49	33570	58	38440	66
137	12	20	13555	39	19110	45	28196	76	35188	67
164	12	25	11082	50	15456	63	21949	73	33369	78
191	12	30	8444	25	13122	62	18780	55	29128	89
218	12	35	6987	39	11092	51	15389	80	23836	82
245	12	40	6321	32	9061	40	13005	57	19940	74
272	12	45	4724	30	6922	47	10387	63	15765	101
299	12	50	4319	46	5437	64	8030	70	12883	99
326	12	55	3347	37	4106	53	6164	75	10218	113
353	12	60	2331	40	3683	71	5034	83	7713	122
380	12	65	2126	46	3008	82	3891	87	5757	123
407	12	70	1151	68	1999	87	3076	116	4085	138
434	12	75	563	55	1264	85	2036	103	2816	151
461	12	80	354	55	865	133	2059	189	3256	321
3	13	0	29328	1170	27859	812	38322	1019	37222	656
30	13	1	105112	251	123959	171	157210	219	151286	158
57	13	5	111384	69	162301	74	185710	78	195961	73
84	13	10	94045	65	151331	68	171551	70	203204	77
111	13	15	79099	116	120413	188	167073	219	182739	291
138	13	20	64665	154	97192	222	144454	335	170186	474
165	13	25	51902	125	82068	207	116232	256	161251	439
192	13	30	40637	95	70707	178	96648	235	142484	374
219	13	35	32885	99	55916	167	84359	268	116779	365
246	13	40	29906	153	45770	188	67091	253	98237	356
273	13	45	22570	132	32978	179	52265	286	80095	389
300	13	50	18644	146	26719	176	38171	296	63713	446
327	13	55	13903	146	19051	187	28369	320	48371	490
354	13	60	10124	164	16058	226	22565	346	34510	545
