cod	sex	age	pop1	year1	pop2	year2	death
1101	f	0	3187	1980	4661	1991	137.87
1101	f	1	11131	1980	18632	1991	45.88
1101	f	5	11997	1980	22693	1991	14.49
1101	f	10	10432	1980	21225	1991	9.04
1101	f	15	9328	1980	18903	1991	12.34
1101	f	20	8170	1980	17601	1991	14.97
1101	f	25	6776	1980	16046	1991	15.26
1101	f	30	4909	1980	13005	1991	12.19
1101	f	35	3710	1980	9971	1991	15.14
1101	f	40	3057	1980	6845	1991	13.73
1101	f	45	2244	1980	4653	1991	13.21
1101	f	50	1807	1980	3579	1991	15.92
1101	f	55	1424	1980	2667	1991	17.78
1101	f	60	1041	1980	2182	1991	19.95
1101	f	65	692	1980	1501	1991	26.07
1101	f	70	370	1980	877	1991	22.40
1101	f	75	220	1980	603	1991	21.41
1101	f	80	153	1980	464	1991	36.72
1102	f	0	6242	1980	10593	1991	319.86
1102	f	1	21408	1980	42035	1991	106.02
1102	f	5	23994	1980	53228	1991	34.68
1102	f	10	21423	1980	51683	1991	22.06
1102	f	15	17990	1980	44806	1991	28.73
1102	f	20	14603	1980	37186	1991	31.57
1102	f	25	11665	1980	32942	1991	31.23
1102	f	30	8074	1980	27272	1991	24.76
1102	f	35	6722	1980	22026	1991	32.89
1102	f	40	5590	1980	16246	1991	31.29
1102	f	45	4386	1980	12410	1991	33.32
1102	f	50	3158	1980	9671	1991	39.02
1102	f	55	2167	1980	7533	1991	42.49
1102	f	60	1382	1980	5241	1991	42.83
1102	f	65	961	1980	3439	1991	53.11
1102	f	70	418	1980	1813	1991	40.23
1102	f	75	293	1980	1116	1991	37.52
1102	f	80	139	1980	849	1991	57.56
1201	f	0	2206	1980	2158	1991	42.48
1201	f	1	8272	1980	8178	1991	9.77
1201	f	5	8886	1980	10316	1991	2.88
1201	f	10	7151	1980	9321	1991	3.35
1201	f	15	5855	1980	6858	1991	4.56
1201	f	20	4407	1980	4962	1991	2.51
1201	f	25	3313	1980	3759	1991	2.60
1201	f	30	2422	1980	3175	1991	3.59
1201	f	35	2239	1980	2659	1991	3.39
1201	f	40	1585	1980	2147	1991	4.23
1201	f	45	1242	1980	1640	1991	3.58
1201	f	50	1055	1980	1303	1991	4.23
1201	f	55	649	1980	900	1991	4.62
1201	f	60	632	1980	896	1991	5.70
1201	f	65	571	1980	597	1991	5.34
1201	f	70	279	1980	465	1991	8.51
1201	f	75	193	1980	328	1991	10.97
1201	f	80	66	1980	280	1991	16.01
1202	f	0	3723	1980	4028	1991	122.66
1202	f	1	12893	1980	16112	1991	27.46
1202	f	5	14136	1980	20773	1991	8.40
1202	f	10	12859	1980	20227	1991	10.07
1202	f	15	11294	1980	16995	1991	15.95
1202	f	20	9212	1980	14216	1991	10.10
1202	f	25	7144	1980	12099	1991	11.08
1202	f	30	5480	1980	9884	1991	15.19
1202	f	35	4467	1980	8285	1991	13.75
1202	f	40	3517	1980	6208	1991	17.56
1202	f	45	2662	1980	4588	1991	14.10
1202	f	50	2345	1980	3491	1991	16.51
1202	f	55	1621	1980	2733	1991	19.85
1202	f	60	1186	1980	2206	1991	19.28
1202	f	65	1231	1980	1745	1991	21.46
1202	f	70	642	1980	1126	1991	31.39
1202	f	75	279	1980	824	1991	34.50
1202	f	80	220	1980	662	1991	61.16
1301	f	0	845	1980	1180	1991	10.92
1301	f	1	3604	1980	5531	1991	3.25
1301	f	5	3715	1980	6636	1991	0.63
1301	f	10	3218	1980	5797	1991	0.45
1301	f	15	2601	1980	4477	1991	0.91
1301	f	20	1996	1980	3533	1991	0.80
1301	f	25	1785	1980	2832	1991	0.98
1301	f	30	1299	1980	2721	1991	0.83
1301	f	35	1146	1980	2019	1991	1.05
1301	f	40	971	1980	1786	1991	1.09
1301	f	45	771	1980	1252	1991	1.17
1301	f	50	443	1980	974	1991	0.98
1301	f	55	444	1980	631	1991	1.38
1301	f	60	287	1980	539	1991	1.15
1301	f	65	224	1980	454	1991	1.36
1301	f	70	117	1980	226	1991	1.41
1301	f	75	56	1980	103	1991	1.26
1301	f	80	48	1980	90	1991	2.21
1302	f	0	3678	1980	3397	1991	12.56
1302	f	1	13233	1980	16024	1991	3.16
1302	f	5	14074	1980	19275	1991	0.83
1302	f	10	10992	1980	16370	1991	0.49
1302	f	15	8264	1980	11821	1991	0.81
1302	f	20	6380	1980	8627	1991	0.74
1302	f	25	5145	1980	7349	1991	0.84
1302	f	30	4166	1980	5982	1991	0.72
1302	f	35	3585	1980	4717	1991	1.00
1302	f	40	2929	1980	3797	1991	0.89
1302	f	45	1968	1980	2853	1991	1.09
1302	f	50	1401	1980	2274	1991	1.07
1302	f	55	982	1980	1523	1991	1.08
1302	f	60	871	1980	1236	1991	1.25
