cod,age,pop1,death,pop2,year1,year2,sex
14,0,4257,89,4783,2000,2010,m
14,1,18011,31,19536,2000,2010,m
14,5,21172,15,25254,2000,2010,m
14,10,19779,9,26321,2000,2010,m
14,15,18848,50,23737,2000,2010,m
14,20,16075,59,21828,2000,2010,m
14,25,13470,49,21398,2000,2010,m
14,30,12386,57,18326,2000,2010,m
14,35,10929,46,14909,2000,2010,m
14,40,8830,51,13039,2000,2010,m
14,45,6859,45,11142,2000,2010,m
14,50,5040,36,8831,2000,2010,m
14,55,3360,47,6719,2000,2010,m
14,60,2597,51,4942,2000,2010,m
14,65,1764,43,3213,2000,2010,m
14,70,1214,39,2200,2000,2010,m
14,75,779,43,1334,2000,2010,m
14,80,667,66,1347,2000,2010,m
