cod,age,pop1,death,pop2,year1,year2,sex
53,0,102629,442,95938,2000,2010,m
53,5,96131,43,101824,2000,2010,m
53,10,95349,38,110597,2000,2010,m
53,15,107553,224,108791,2000,2010,m
53,20,110797,304,120373,2000,2010,m
53,25,96084,265,127512,2000,2010,m
53,30,85380,281,118507,2000,2010,m
53,35,72940,299,100047,2000,2010,m
53,40,57887,255,88786,2000,2010,m
53,45,46990,312,72525,2000,2010,m
53,50,35933,320,55965,2000,2010,m
53,55,24967,338,43033,2000,2010,m
53,60,19995,392,30889,2000,2010,m
53,65,12188,395,21160,2000,2010,m
53,70,8223,369,15759,2000,2010,m
53,75,4559,335,8885,2000,2010,m
53,80,3751,479,8289,2000,2010,m
15,0,1375071,88247.670225425,1963660,1997,2007,f
15,5,1103023,11423.8672586858,1615244,1997,2007,f
15,10,870027,5676.5559439462,1183939,1997,2007,f
15,15,845909,6122.9672411546,991323,1997,2007,f
15,20,819698,7280.2300919245,986526,1997,2007,f
15,25,648205,7212.2247627616,841416,1997,2007,f
15,30,472994,6425.6538941171,667865,1997,2007,f
15,35,424297,5419.329005091,556191,1997,2007,f
15,40,300247,4384.6527378228,389087,1997,2007,f
15,45,279400,3765.2195624351,328660,1997,2007,f
15,50,210032,3987.9872211663,283288,1997,2007,f
15,55,172567,2566.2947895012,208657,1997,2007,f
15,60,123899,3686.103299663,159557,1997,2007,f
15,65,108243,2535.7843486259,127794,1997,2007,f
15,70,50123,2574.5880629356,81329,1997,2007,f
15,75,42448,1710.1671953214,61012,1997,2007,f
15,80,35091,3623.9400380454,59985,1997,2007,f
